,Plan 300,Plan 400,Plan 500,Plan 600,Plan 800,Plan 1000,Plan 1500

,$499,$0,$0,$0,$0,$0,$0
,$899,$0,$0,$0,$0,$0,$0
,$0,$0
,$599,$0,$0,$0,$0,$0,$0


,$11499,$8499,$7479,$6189,$4259,$2519,$0

,$3499,$2199,$0,$0,$0,$0,$0
,$5499,$4749,$4349,$3949,$0,$0,$0
,$899,$0,$0,$0,$0,$0,$0
,$0,$0,$0,$0,$0,$0,$0
,$3399,$1999,$0,$0,$0,$0,$0
,$3399,$0,$0,$0,$0,$0,$0
,$6299,$5499,$4699,$3999,$0,$0,$0
,$8889,$7999,$7599,$6299,$4299,$3199,$0

,$1699,$999,$0,$0,$0,$0,$0
,$3499,$2099,$1799,$0,$0,$0,$0
,$4099,$3199,$2599,$1999,$0,$0,$0
,$12599,$11599,$10999,$8499,$6899,$5199,$1599
,$10599,$9699,$9099,$6599,$4899,$3299,$0
