




,Plan 400,Plan 500,Plan 600,Plan 800,Plan 1000,Plan 1500
Moto E,$0,$0,$0,$0,$0,$0
,Plan 400,Plan 500,Plan 600,Plan 800,Plan 1000,Plan 1500
Moto G Ferrari Edition,$3999,$2999,$0,$0,$0,$0
,Plan 400,Plan 500,Plan 600,Plan 800,Plan 1000,Plan 1500
Moto X,$5999,$2999,$0,$0,$0,$0
,Plan 400,Plan 500,Plan 600,Plan 800,Plan 1000,Plan 1500
Samsung Galaxy Core Plus,$2999,$0,$0,$0,$0,$0
,Plan 400,Plan 500,Plan 600,Plan 800,Plan 1000,Plan 1500
Samsung Galaxy S5,$10499,$9499,$8499,$7499,$3499,$999
,Plan 400,Plan 500,Plan 600,Plan 800,Plan 1000,Plan 1500
V.45,$0,$0,$0,$0,$0,$0

